Time,Channel A
(ms),(V)

-1.48069661,0.01788385
-1.48037661,0.01788385
-1.48005661,0.01788385
-1.47973661,0.01788385
-1.47941661,0.00006104
-1.47909661,0.03570665
-1.47877661,0.03570665
-1.47845661,0.00006104
-1.47813661,0.01788385
-1.47781661,0.01788385
-1.47749661,0.00006104
-1.47717661,0.01788385
-1.47685661,0.00006104
-1.47653661,-0.01770074
-1.47621661,0.01788385
-1.47589661,0.01788385
-1.47557661,0.00006104
-1.47525661,0.01788385
-1.47493661,0.03570665
-1.47461661,0.01788385
-1.47429661,0.01788385
-1.47397661,0.01788385
-1.47365661,0.00006104
-1.47333661,0.01788385
-1.47301661,0.01788385
-1.47269661,0.00006104
-1.47237661,0.01788385
-1.47205661,0.01788385
-1.47173661,0.00006104
-1.47141661,0.00006104
-1.47109661,0.00006104
-1.47077661,0.00006104
-1.47045661,0.00006104
-1.47013661,0.00006104
-1.46981661,0.00006104
-1.46949661,0.00006104
-1.46917661,0.00006104
-1.46885661,0.00006104
-1.46853661,0.01788385
-1.46821661,0.01788385
-1.46789661,0.00006104
-1.46757661,0.01788385
-1.46725661,0.00006104
-1.46693661,0.00006104
-1.46661661,0.01788385
-1.46629661,0.01788385
-1.46597661,0.01788385
-1.46565661,0.01788385
-1.46533661,0.00006104
-1.46501661,0.00006104
-1.46469661,0.00006104
-1.46437661,0.00006104
-1.46405661,0.00006104
-1.46373661,0.01788385
-1.46341661,0.00006104
-1.46309661,0.00006104
-1.46277661,0.00006104
-1.46245661,0.01788385
-1.46213661,0.01788385
-1.46181661,0.00006104
-1.46149661,0.00006104
-1.46117661,0.01788385
-1.46085661,0.00006104
-1.46053661,0.00006104
-1.46021661,0.00006104
-1.45989661,0.00006104
-1.45957661,0.00006104
-1.45925661,0.00006104
-1.45893661,0.00006104
-1.45861661,0.00006104
-1.45829661,0.00006104
-1.45797661,0.00006104
-1.45765661,0.00006104
-1.45733661,0.00006104
-1.45701661,0.00006104
-1.45669661,0.00006104
-1.45637661,0.00006104
-1.45605661,0.00006104
-1.45573661,0.01788385
-1.45541661,0.00006104
-1.45509661,0.00006104
-1.45477661,0.00006104
-1.45445661,0.00006104
-1.45413661,0.00006104
-1.45381661,0.00006104
-1.45349661,0.00006104
-1.45317661,0.00006104
-1.45285661,0.00006104
-1.45253661,0.00006104
-1.45221661,-0.01770074
-1.45189661,0.00006104
-1.45157661,0.00006104
-1.45125661,-0.01770074
-1.45093661,0.00006104
-1.45061661,0.00006104
-1.45029661,0.00006104
-1.44997661,0.00006104
-1.44965661,0.00006104
-1.44933661,-0.01770074
-1.44901661,0.00006104
-1.44869661,0.00006104
-1.44837661,0.00006104
-1.44805661,0.00006104
-1.44773661,0.00006104
-1.44741661,0.01788385
-1.44709661,0.01788385
-1.44677661,0.00006104
-1.44645661,0.00006104
-1.44613661,0.00006104
-1.44581661,0.00006104
-1.44549661,0.00006104
-1.44517661,0.00006104
-1.44485661,0.00006104
-1.44453661,0.00006104
-1.44421661,0.00006104
-1.44389661,0.00006104
-1.44357661,-0.01770074
-1.44325661,0.00006104
