Time,Channel A
(ms),(V)

-1.48086157,0.00006104
-1.48054157,0.00006104
-1.48022157,0.01788385
-1.47990157,0.00006104
-1.47958157,0.00006104
-1.47926157,0.00006104
-1.47894157,-0.01770074
-1.47862157,0.00006104
-1.47830157,0.01788385
-1.47798157,0.00006104
-1.47766157,0.00006104
-1.47734157,0.03570665
-1.47702157,0.01788385
-1.47670157,0.01788385
-1.47638157,0.01788385
-1.47606157,0.00006104
-1.47574157,0.01788385
-1.47542157,0.01788385
-1.47510157,0.00006104
-1.47478157,0.01788385
-1.47446157,0.01788385
-1.47414157,0.00006104
-1.47382157,0.00006104
-1.47350157,0.00006104
-1.47318157,0.00006104
-1.47286157,0.00006104
-1.47254157,0.00006104
-1.47222157,-0.01770074
-1.47190157,0.00006104
-1.47158157,0.00006104
-1.47126157,0.00006104
-1.47094157,0.00006104
-1.47062157,0.00006104
-1.47030157,0.01788385
-1.46998157,0.01788385
-1.46966157,0.00006104
-1.46934157,0.00006104
-1.46902157,0.01788385
-1.46870157,0.00006104
-1.46838157,0.00006104
-1.46806157,0.00006104
-1.46774157,0.00006104
-1.46742157,0.00006104
-1.46710157,0.01788385
-1.46678157,0.00006104
-1.46646157,0.00006104
-1.46614157,0.00006104
-1.46582157,0.00006104
-1.46550157,0.00006104
-1.46518157,0.00006104
-1.46486157,0.00006104
-1.46454157,0.01788385
-1.46422157,0.00006104
-1.46390157,0.00006104
-1.46358157,0.01788385
-1.46326157,0.00006104
-1.46294157,-0.01770074
-1.46262157,0.00006104
-1.46230157,0.00006104
-1.46198157,0.00006104
-1.46166157,0.00006104
-1.46134157,-0.01770074
-1.46102157,-0.01770074
-1.46070157,-0.01770074
-1.46038157,0.00006104
-1.46006157,0.00006104
-1.45974157,0.00006104
-1.45942157,0.00006104
-1.45910157,0.00006104
-1.45878157,0.00006104
-1.45846157,0.00006104
-1.45814157,0.00006104
-1.45782157,0.01788385
-1.45750157,0.00006104
-1.45718157,0.00006104
-1.45686157,0.00006104
-1.45654157,0.00006104
-1.45622157,0.00006104
-1.45590157,0.00006104
-1.45558157,0.00006104
-1.45526157,0.00006104
-1.45494157,0.00006104
-1.45462157,-0.01770074
-1.45430157,-0.01770074
-1.45398157,0.00006104
-1.45366157,-0.01770074
-1.45334157,0.00006104
-1.45302157,0.00006104
-1.45270157,0.00006104
-1.45238157,0.00006104
-1.45206157,0.00006104
-1.45174157,0.00006104
-1.45142157,0.00006104
-1.45110157,0.00006104
-1.45078157,0.00006104
-1.45046157,0.00006104
-1.45014157,0.00006104
-1.44982157,0.00006104
-1.44950157,0.00006104
-1.44918157,0.00006104
-1.44886157,0.00006104
-1.44854157,0.00006104
-1.44822157,0.00006104
-1.44790157,-0.01770074
-1.44758157,0.00006104
-1.44726157,0.00006104
-1.44694157,0.00006104
-1.44662157,-0.01770074
-1.44630157,0.00006104
-1.44598157,0.00006104
-1.44566157,0.00006104
-1.44534157,0.00006104
-1.44502157,0.00006104
-1.44470157,0.00006104
-1.44438157,0.00006104
-1.44406157,0.00006104
-1.44374157,0.00006104
-1.44342157,0.00006104
