Time,Channel A
(ms),(V)

-1.48083596,0.03570665
-1.48051596,0.03570665
-1.48019596,0.03570665
-1.47987596,0.01788385
-1.47955596,0.01788385
-1.47923596,0.01788385
-1.47891596,0.00006104
-1.47859596,0.01788385
-1.47827596,0.03570665
-1.47795596,0.00006104
-1.47763596,0.00006104
-1.47731596,0.03570665
-1.47699596,0.01788385
-1.47667596,0.01788385
-1.47635596,0.01788385
-1.47603596,-0.01770074
-1.47571596,0.00006104
-1.47539596,0.01788385
-1.47507596,0.00006104
-1.47475596,0.00006104
-1.47443596,0.01788385
-1.47411596,0.01788385
-1.47379596,0.01788385
-1.47347596,0.01788385
-1.47315596,0.00006104
-1.47283596,0.00006104
-1.47251596,0.01788385
-1.47219596,0.00006104
-1.47187596,0.00006104
-1.47155596,0.03570665
-1.47123596,0.01788385
-1.47091596,0.00006104
-1.47059596,0.00006104
-1.47027596,0.00006104
-1.46995596,0.01788385
-1.46963596,0.00006104
-1.46931596,-0.01770074
-1.46899596,0.00006104
-1.46867596,0.00006104
-1.46835596,0.00006104
-1.46803596,0.00006104
-1.46771596,0.01788385
-1.46739596,0.00006104
-1.46707596,0.01788385
-1.46675596,0.01788385
-1.46643596,0.00006104
-1.46611596,0.01788385
-1.46579596,0.01788385
-1.46547596,0.01788385
-1.46515596,0.01788385
-1.46483596,0.00006104
-1.46451596,0.01788385
-1.46419596,0.00006104
-1.46387596,0.00006104
-1.46355596,0.00006104
-1.46323596,0.00006104
-1.46291596,0.00006104
-1.46259596,0.00006104
-1.46227596,0.01788385
-1.46195596,0.01788385
-1.46163596,0.00006104
-1.46131596,0.00006104
-1.46099596,0.00006104
-1.46067596,0.00006104
-1.46035596,0.00006104
-1.46003596,0.00006104
-1.45971596,0.00006104
-1.45939596,0.00006104
-1.45907596,0.00006104
-1.45875596,0.00006104
-1.45843596,0.00006104
-1.45811596,0.00006104
-1.45779596,0.00006104
-1.45747596,0.00006104
-1.45715596,0.00006104
-1.45683596,0.00006104
-1.45651596,0.00006104
-1.45619596,0.00006104
-1.45587596,0.00006104
-1.45555596,0.01788385
-1.45523596,0.00006104
-1.45491596,0.00006104
-1.45459596,0.00006104
-1.45427596,0.00006104
-1.45395596,0.01788385
-1.45363596,0.00006104
-1.45331596,0.00006104
-1.45299596,0.00006104
-1.45267596,0.00006104
-1.45235596,0.00006104
-1.45203596,0.00006104
-1.45171596,-0.01770074
-1.45139596,-0.01770074
-1.45107596,0.00006104
-1.45075596,0.00006104
-1.45043596,-0.01770074
-1.45011596,0.00006104
-1.44979596,0.00006104
-1.44947596,0.00006104
-1.44915596,0.00006104
-1.44883596,0.00006104
-1.44851596,0.00006104
-1.44819596,0.00006104
-1.44787596,0.00006104
-1.44755596,0.00006104
-1.44723596,0.00006104
-1.44691596,0.00006104
-1.44659596,0.00006104
-1.44627596,0.01788385
-1.44595596,0.00006104
-1.44563596,0.00006104
-1.44531596,0.00006104
-1.44499596,0.00006104
-1.44467596,0.00006104
-1.44435596,0.00006104
-1.44403596,0.00006104
-1.44371596,0.00006104
-1.44339596,0.00006104
