Time,Channel A
(ms),(V)

-1.48074050,0.01788385
-1.48042050,0.00006104
-1.48010050,0.01788385
-1.47978050,0.03570665
-1.47946050,0.00006104
-1.47914050,0.00006104
-1.47882050,0.03570665
-1.47850050,0.01788385
-1.47818050,0.00006104
-1.47786050,0.01788385
-1.47754050,-0.01770074
-1.47722050,0.00006104
-1.47690050,0.01788385
-1.47658050,0.00006104
-1.47626050,0.00006104
-1.47594050,0.03570665
-1.47562050,0.01788385
-1.47530050,0.00006104
-1.47498050,0.01788385
-1.47466050,0.00006104
-1.47434050,0.00006104
-1.47402050,0.01788385
-1.47370050,0.00006104
-1.47338050,0.00006104
-1.47306050,0.01788385
-1.47274050,0.00006104
-1.47242050,0.00006104
-1.47210050,0.00006104
-1.47178050,0.00006104
-1.47146050,0.01788385
-1.47114050,0.00006104
-1.47082050,-0.01770074
-1.47050050,0.00006104
-1.47018050,0.00006104
-1.46986050,0.00006104
-1.46954050,0.00006104
-1.46922050,0.01788385
-1.46890050,0.01788385
-1.46858050,0.01788385
-1.46826050,0.00006104
-1.46794050,0.00006104
-1.46762050,0.01788385
-1.46730050,0.01788385
-1.46698050,0.00006104
-1.46666050,0.01788385
-1.46634050,0.00006104
-1.46602050,0.00006104
-1.46570050,0.01788385
-1.46538050,0.00006104
-1.46506050,0.00006104
-1.46474050,0.00006104
-1.46442050,0.00006104
-1.46410050,0.00006104
-1.46378050,0.00006104
-1.46346050,0.00006104
-1.46314050,0.01788385
-1.46282050,0.01788385
-1.46250050,0.00006104
-1.46218050,0.00006104
-1.46186050,0.00006104
-1.46154050,-0.01770074
-1.46122050,0.00006104
-1.46090050,0.00006104
-1.46058050,0.00006104
-1.46026050,0.00006104
-1.45994050,0.00006104
-1.45962050,-0.01770074
-1.45930050,0.00006104
-1.45898050,0.00006104
-1.45866050,-0.01770074
-1.45834050,0.00006104
-1.45802050,0.00006104
-1.45770050,0.00006104
-1.45738050,0.00006104
-1.45706050,0.00006104
-1.45674050,0.00006104
-1.45642050,0.00006104
-1.45610050,0.00006104
-1.45578050,0.01788385
-1.45546050,0.01788385
-1.45514050,0.00006104
-1.45482050,0.00006104
-1.45450050,0.00006104
-1.45418050,0.00006104
-1.45386050,0.00006104
-1.45354050,0.00006104
-1.45322050,0.00006104
-1.45290050,0.00006104
-1.45258050,0.00006104
-1.45226050,0.00006104
-1.45194050,0.00006104
-1.45162050,0.00006104
-1.45130050,0.00006104
-1.45098050,0.00006104
-1.45066050,0.00006104
-1.45034050,0.00006104
-1.45002050,0.00006104
-1.44970050,0.01788385
-1.44938050,0.00006104
-1.44906050,0.00006104
-1.44874050,0.00006104
-1.44842050,0.00006104
-1.44810050,0.00006104
-1.44778050,0.00006104
-1.44746050,0.00006104
-1.44714050,0.00006104
-1.44682050,0.00006104
-1.44650050,0.00006104
-1.44618050,0.00006104
-1.44586050,0.00006104
-1.44554050,0.00006104
-1.44522050,0.00006104
-1.44490050,0.00006104
-1.44458050,0.00006104
-1.44426050,0.00006104
-1.44394050,0.00006104
-1.44362050,0.00006104
-1.44330050,0.00006104
