Time,Channel A
(ms),(V)

-1.48094015,0.03570665
-1.48062015,0.01788385
-1.48030015,0.01788385
-1.47998015,0.00006104
-1.47966015,0.01788385
-1.47934015,0.01788385
-1.47902015,0.01788385
-1.47870015,0.03570665
-1.47838015,0.00006104
-1.47806015,0.00006104
-1.47774015,0.03570665
-1.47742015,0.01788385
-1.47710015,0.01788385
-1.47678015,0.00006104
-1.47646015,0.00006104
-1.47614015,0.00006104
-1.47582015,0.01788385
-1.47550015,0.00006104
-1.47518015,0.00006104
-1.47486015,0.03570665
-1.47454015,0.01788385
-1.47422015,0.01788385
-1.47390015,0.01788385
-1.47358015,0.00006104
-1.47326015,0.01788385
-1.47294015,0.01788385
-1.47262015,0.00006104
-1.47230015,0.00006104
-1.47198015,0.03570665
-1.47166015,0.01788385
-1.47134015,0.00006104
-1.47102015,0.00006104
-1.47070015,0.00006104
-1.47038015,0.00006104
-1.47006015,0.00006104
-1.46974015,-0.01770074
-1.46942015,0.00006104
-1.46910015,0.00006104
-1.46878015,0.00006104
-1.46846015,0.00006104
-1.46814015,0.00006104
-1.46782015,0.01788385
-1.46750015,0.01788385
-1.46718015,0.00006104
-1.46686015,0.00006104
-1.46654015,0.01788385
-1.46622015,0.00006104
-1.46590015,0.00006104
-1.46558015,0.00006104
-1.46526015,0.01788385
-1.46494015,0.00006104
-1.46462015,0.00006104
-1.46430015,0.00006104
-1.46398015,0.00006104
-1.46366015,0.00006104
-1.46334015,0.00006104
-1.46302015,0.00006104
-1.46270015,0.00006104
-1.46238015,0.01788385
-1.46206015,0.01788385
-1.46174015,0.01788385
-1.46142015,0.00006104
-1.46110015,0.01788385
-1.46078015,0.01788385
-1.46046015,0.00006104
-1.46014015,0.00006104
-1.45982015,0.00006104
-1.45950015,0.00006104
-1.45918015,0.00006104
-1.45886015,0.00006104
-1.45854015,0.00006104
-1.45822015,0.00006104
-1.45790015,0.00006104
-1.45758015,0.00006104
-1.45726015,0.00006104
-1.45694015,0.00006104
-1.45662015,0.00006104
-1.45630015,0.00006104
-1.45598015,0.00006104
-1.45566015,0.00006104
-1.45534015,0.01788385
-1.45502015,0.00006104
-1.45470015,0.00006104
-1.45438015,0.01788385
-1.45406015,0.00006104
-1.45374015,0.00006104
-1.45342015,0.00006104
-1.45310015,0.00006104
-1.45278015,0.00006104
-1.45246015,0.00006104
-1.45214015,-0.01770074
-1.45182015,0.00006104
-1.45150015,0.00006104
-1.45118015,-0.01770074
-1.45086015,0.00006104
-1.45054015,0.00006104
-1.45022015,0.00006104
-1.44990015,0.00006104
-1.44958015,0.00006104
-1.44926015,0.00006104
-1.44894015,0.00006104
-1.44862015,0.00006104
-1.44830015,0.00006104
-1.44798015,0.00006104
-1.44766015,0.00006104
-1.44734015,0.00006104
-1.44702015,0.01788385
-1.44670015,0.00006104
-1.44638015,0.00006104
-1.44606015,0.00006104
-1.44574015,0.00006104
-1.44542015,0.00006104
-1.44510015,0.00006104
-1.44478015,0.00006104
-1.44446015,0.00006104
-1.44414015,0.00006104
-1.44382015,0.00006104
-1.44350015,0.00006104
