Time,Channel A
(ms),(V)

-1.48084376,0.01788385
-1.48052376,0.01788385
-1.48020376,-0.01770074
-1.47988376,-0.01770074
-1.47956376,0.01788385
-1.47924376,0.00006104
-1.47892376,0.00006104
-1.47860376,0.01788385
-1.47828376,0.03570665
-1.47796376,0.00006104
-1.47764376,0.01788385
-1.47732376,0.00006104
-1.47700376,0.00006104
-1.47668376,0.01788385
-1.47636376,0.00006104
-1.47604376,0.00006104
-1.47572376,0.01788385
-1.47540376,0.01788385
-1.47508376,0.01788385
-1.47476376,0.00006104
-1.47444376,0.00006104
-1.47412376,0.00006104
-1.47380376,0.00006104
-1.47348376,-0.01770074
-1.47316376,0.00006104
-1.47284376,0.00006104
-1.47252376,0.00006104
-1.47220376,0.01788385
-1.47188376,0.01788385
-1.47156376,0.01788385
-1.47124376,0.01788385
-1.47092376,0.00006104
-1.47060376,0.00006104
-1.47028376,0.01788385
-1.46996376,0.01788385
-1.46964376,0.01788385
-1.46932376,0.00006104
-1.46900376,0.01788385
-1.46868376,0.00006104
-1.46836376,0.00006104
-1.46804376,0.00006104
-1.46772376,0.00006104
-1.46740376,0.00006104
-1.46708376,0.00006104
-1.46676376,0.00006104
-1.46644376,0.00006104
-1.46612376,0.00006104
-1.46580376,0.01788385
-1.46548376,0.01788385
-1.46516376,0.00006104
-1.46484376,0.00006104
-1.46452376,0.00006104
-1.46420376,0.00006104
-1.46388376,0.00006104
-1.46356376,0.00006104
-1.46324376,0.00006104
-1.46292376,0.00006104
-1.46260376,0.00006104
-1.46228376,0.00006104
-1.46196376,0.00006104
-1.46164376,0.00006104
-1.46132376,0.00006104
-1.46100376,0.00006104
-1.46068376,0.00006104
-1.46036376,0.00006104
-1.46004376,0.00006104
-1.45972376,0.01788385
-1.45940376,0.00006104
-1.45908376,0.01788385
-1.45876376,0.00006104
-1.45844376,0.00006104
-1.45812376,0.01788385
-1.45780376,0.00006104
-1.45748376,0.00006104
-1.45716376,0.01788385
-1.45684376,0.00006104
-1.45652376,0.00006104
-1.45620376,0.00006104
-1.45588376,-0.01770074
-1.45556376,0.00006104
-1.45524376,-0.01770074
-1.45492376,0.00006104
-1.45460376,0.00006104
-1.45428376,0.00006104
-1.45396376,0.00006104
-1.45364376,0.00006104
-1.45332376,0.00006104
-1.45300376,0.00006104
-1.45268376,0.00006104
-1.45236376,0.00006104
-1.45204376,0.00006104
-1.45172376,0.01788385
-1.45140376,0.01788385
-1.45108376,0.00006104
-1.45076376,0.00006104
-1.45044376,0.01788385
-1.45012376,0.00006104
-1.44980376,0.00006104
-1.44948376,0.00006104
-1.44916376,0.00006104
-1.44884376,0.00006104
-1.44852376,0.00006104
-1.44820376,0.00006104
-1.44788376,0.00006104
-1.44756376,0.00006104
-1.44724376,0.00006104
-1.44692376,0.00006104
-1.44660376,0.00006104
-1.44628376,0.00006104
-1.44596376,0.00006104
-1.44564376,0.00006104
-1.44532376,0.00006104
-1.44500376,0.00006104
-1.44468376,0.00006104
-1.44436376,0.00006104
-1.44404376,0.00006104
-1.44372376,0.00006104
-1.44340376,0.00006104
