Time,Channel A
(ms),(V)

-1.48080068,0.01788385
-1.48048068,0.00006104
-1.48016068,0.01788385
-1.47984068,0.01788385
-1.47952068,0.00006104
-1.47920068,0.03570665
-1.47888068,0.01788385
-1.47856068,0.00006104
-1.47824068,0.01788385
-1.47792068,0.03570665
-1.47760068,0.00006104
-1.47728068,0.01788385
-1.47696068,0.00006104
-1.47664068,0.00006104
-1.47632068,0.01788385
-1.47600068,0.01788385
-1.47568068,0.00006104
-1.47536068,0.01788385
-1.47504068,0.01788385
-1.47472068,0.00006104
-1.47440068,0.01788385
-1.47408068,0.01788385
-1.47376068,0.00006104
-1.47344068,0.01788385
-1.47312068,0.01788385
-1.47280068,0.00006104
-1.47248068,0.01788385
-1.47216068,0.01788385
-1.47184068,0.01788385
-1.47152068,0.01788385
-1.47120068,0.00006104
-1.47088068,0.00006104
-1.47056068,0.00006104
-1.47024068,-0.01770074
-1.46992068,-0.01770074
-1.46960068,0.00006104
-1.46928068,0.00006104
-1.46896068,0.01788385
-1.46864068,0.01788385
-1.46832068,0.01788385
-1.46800068,0.00006104
-1.46768068,0.01788385
-1.46736068,0.01788385
-1.46704068,0.00006104
-1.46672068,0.01788385
-1.46640068,0.00006104
-1.46608068,0.00006104
-1.46576068,0.00006104
-1.46544068,0.01788385
-1.46512068,0.00006104
-1.46480068,0.00006104
-1.46448068,0.00006104
-1.46416068,0.00006104
-1.46384068,0.00006104
-1.46352068,0.00006104
-1.46320068,0.00006104
-1.46288068,0.00006104
-1.46256068,0.01788385
-1.46224068,0.01788385
-1.46192068,0.00006104
-1.46160068,0.00006104
-1.46128068,0.00006104
-1.46096068,0.00006104
-1.46064068,0.00006104
-1.46032068,0.00006104
-1.46000068,0.00006104
-1.45968068,0.00006104
-1.45936068,0.00006104
-1.45904068,0.00006104
-1.45872068,0.00006104
-1.45840068,0.00006104
-1.45808068,0.00006104
-1.45776068,0.00006104
-1.45744068,0.00006104
-1.45712068,0.00006104
-1.45680068,0.00006104
-1.45648068,0.01788385
-1.45616068,0.01788385
-1.45584068,0.00006104
-1.45552068,0.00006104
-1.45520068,0.00006104
-1.45488068,0.01788385
-1.45456068,0.01788385
-1.45424068,0.00006104
-1.45392068,0.00006104
-1.45360068,0.01788385
-1.45328068,0.00006104
-1.45296068,0.00006104
-1.45264068,0.00006104
-1.45232068,0.00006104
-1.45200068,-0.01770074
-1.45168068,0.00006104
-1.45136068,-0.01770074
-1.45104068,0.00006104
-1.45072068,0.00006104
-1.45040068,0.00006104
-1.45008068,0.00006104
-1.44976068,0.00006104
-1.44944068,0.00006104
-1.44912068,0.00006104
-1.44880068,0.00006104
-1.44848068,0.01788385
-1.44816068,0.00006104
-1.44784068,0.00006104
-1.44752068,0.00006104
-1.44720068,0.00006104
-1.44688068,0.00006104
-1.44656068,0.00006104
-1.44624068,0.00006104
-1.44592068,0.00006104
-1.44560068,0.00006104
-1.44528068,0.00006104
-1.44496068,0.00006104
-1.44464068,-0.01770074
-1.44432068,0.00006104
-1.44400068,0.00006104
-1.44368068,0.00006104
-1.44336068,0.00006104
