Time,Channel A
(ms),(V)

-1.48089672,0.01788385
-1.48057672,0.00006104
-1.48025672,0.01788385
-1.47993672,0.01788385
-1.47961672,0.00006104
-1.47929672,0.03570665
-1.47897672,0.01788385
-1.47865672,-0.01770074
-1.47833672,0.01788385
-1.47801672,0.01788385
-1.47769672,0.00006104
-1.47737672,0.00006104
-1.47705672,0.00006104
-1.47673672,-0.01770074
-1.47641672,0.00006104
-1.47609672,0.01788385
-1.47577672,0.00006104
-1.47545672,0.01788385
-1.47513672,0.01788385
-1.47481672,0.00006104
-1.47449672,0.01788385
-1.47417672,0.00006104
-1.47385672,0.00006104
-1.47353672,0.01788385
-1.47321672,0.01788385
-1.47289672,0.00006104
-1.47257672,0.01788385
-1.47225672,0.01788385
-1.47193672,0.00006104
-1.47161672,0.00006104
-1.47129672,0.00006104
-1.47097672,0.00006104
-1.47065672,0.00006104
-1.47033672,0.00006104
-1.47001672,-0.01770074
-1.46969672,0.00006104
-1.46937672,0.00006104
-1.46905672,0.00006104
-1.46873672,0.00006104
-1.46841672,0.01788385
-1.46809672,0.01788385
-1.46777672,0.00006104
-1.46745672,0.00006104
-1.46713672,0.01788385
-1.46681672,0.01788385
-1.46649672,0.01788385
-1.46617672,0.01788385
-1.46585672,0.00006104
-1.46553672,0.00006104
-1.46521672,0.00006104
-1.46489672,0.00006104
-1.46457672,-0.01770074
-1.46425672,0.00006104
-1.46393672,0.00006104
-1.46361672,0.00006104
-1.46329672,0.00006104
-1.46297672,0.00006104
-1.46265672,0.01788385
-1.46233672,0.01788385
-1.46201672,0.00006104
-1.46169672,0.00006104
-1.46137672,0.00006104
-1.46105672,0.00006104
-1.46073672,0.00006104
-1.46041672,0.00006104
-1.46009672,0.00006104
-1.45977672,0.00006104
-1.45945672,0.00006104
-1.45913672,0.00006104
-1.45881672,0.00006104
-1.45849672,0.00006104
-1.45817672,0.00006104
-1.45785672,0.00006104
-1.45753672,0.00006104
-1.45721672,0.00006104
-1.45689672,0.00006104
-1.45657672,0.00006104
-1.45625672,0.00006104
-1.45593672,0.00006104
-1.45561672,0.01788385
-1.45529672,0.00006104
-1.45497672,0.00006104
-1.45465672,0.00006104
-1.45433672,0.00006104
-1.45401672,0.00006104
-1.45369672,0.00006104
-1.45337672,0.00006104
-1.45305672,0.00006104
-1.45273672,0.00006104
-1.45241672,-0.01770074
-1.45209672,0.00006104
-1.45177672,0.00006104
-1.45145672,-0.01770074
-1.45113672,0.00006104
-1.45081672,0.00006104
-1.45049672,0.00006104
-1.45017672,0.00006104
-1.44985672,0.00006104
-1.44953672,0.00006104
-1.44921672,0.00006104
-1.44889672,0.00006104
-1.44857672,0.00006104
-1.44825672,0.01788385
-1.44793672,0.00006104
-1.44761672,0.00006104
-1.44729672,0.00006104
-1.44697672,0.01788385
-1.44665672,0.00006104
-1.44633672,0.00006104
-1.44601672,0.00006104
-1.44569672,-0.01770074
-1.44537672,0.00006104
-1.44505672,0.00006104
-1.44473672,-0.01770074
-1.44441672,0.00006104
-1.44409672,0.00006104
-1.44377672,-0.01770074
-1.44345672,0.00006104
