Time,Channel A
(ms),(V)

-1.48093421,-0.01770074
-1.48061421,0.03570665
-1.48029421,0.01788385
-1.47997421,0.01788385
-1.47965421,0.00006104
-1.47933421,-0.01770074
-1.47901421,-0.01770074
-1.47869421,0.01788385
-1.47837421,0.00006104
-1.47805421,0.00006104
-1.47773421,0.01788385
-1.47741421,0.01788385
-1.47709421,0.00006104
-1.47677421,0.01788385
-1.47645421,0.00006104
-1.47613421,0.00006104
-1.47581421,0.01788385
-1.47549421,0.00006104
-1.47517421,0.00006104
-1.47485421,0.01788385
-1.47453421,0.01788385
-1.47421421,0.00006104
-1.47389421,0.00006104
-1.47357421,0.00006104
-1.47325421,0.00006104
-1.47293421,0.00006104
-1.47261421,-0.01770074
-1.47229421,-0.01770074
-1.47197421,0.00006104
-1.47165421,0.00006104
-1.47133421,0.01788385
-1.47101421,0.00006104
-1.47069421,0.01788385
-1.47037421,0.01788385
-1.47005421,0.01788385
-1.46973421,0.00006104
-1.46941421,0.01788385
-1.46909421,0.01788385
-1.46877421,0.01788385
-1.46845421,0.00006104
-1.46813421,0.00006104
-1.46781421,0.00006104
-1.46749421,0.01788385
-1.46717421,0.00006104
-1.46685421,0.00006104
-1.46653421,0.00006104
-1.46621421,0.00006104
-1.46589421,0.00006104
-1.46557421,0.00006104
-1.46525421,0.00006104
-1.46493421,0.01788385
-1.46461421,0.00006104
-1.46429421,0.00006104
-1.46397421,0.00006104
-1.46365421,0.00006104
-1.46333421,0.00006104
-1.46301421,0.00006104
-1.46269421,0.00006104
-1.46237421,0.00006104
-1.46205421,0.00006104
-1.46173421,0.00006104
-1.46141421,-0.01770074
-1.46109421,-0.01770074
-1.46077421,0.00006104
-1.46045421,0.00006104
-1.46013421,0.00006104
-1.45981421,0.00006104
-1.45949421,0.00006104
-1.45917421,0.01788385
-1.45885421,0.00006104
-1.45853421,0.00006104
-1.45821421,0.01788385
-1.45789421,0.00006104
-1.45757421,0.01788385
-1.45725421,0.00006104
-1.45693421,0.00006104
-1.45661421,0.00006104
-1.45629421,0.00006104
-1.45597421,0.01788385
-1.45565421,0.00006104
-1.45533421,0.00006104
-1.45501421,-0.01770074
-1.45469421,0.00006104
-1.45437421,0.00006104
-1.45405421,-0.01770074
-1.45373421,0.00006104
-1.45341421,0.00006104
-1.45309421,0.00006104
-1.45277421,0.00006104
-1.45245421,0.00006104
-1.45213421,0.00006104
-1.45181421,0.00006104
-1.45149421,0.00006104
-1.45117421,0.00006104
-1.45085421,0.00006104
-1.45053421,0.00006104
-1.45021421,0.00006104
-1.44989421,0.00006104
-1.44957421,0.01788385
-1.44925421,0.00006104
-1.44893421,0.00006104
-1.44861421,0.00006104
-1.44829421,0.00006104
-1.44797421,0.00006104
-1.44765421,0.00006104
-1.44733421,0.00006104
-1.44701421,0.00006104
-1.44669421,0.00006104
-1.44637421,0.00006104
-1.44605421,0.00006104
-1.44573421,0.00006104
-1.44541421,-0.01770074
-1.44509421,0.00006104
-1.44477421,0.00006104
-1.44445421,0.00006104
-1.44413421,0.00006104
-1.44381421,0.00006104
-1.44349421,0.00006104
