Time,Channel A
(ms),(V)

-1.48081628,0.01788385
-1.48049628,0.01788385
-1.48017628,0.01788385
-1.47985628,0.01788385
-1.47953628,0.01788385
-1.47921628,0.03570665
-1.47889628,0.00006104
-1.47857628,0.00006104
-1.47825628,0.01788385
-1.47793628,0.01788385
-1.47761628,0.01788385
-1.47729628,0.01788385
-1.47697628,-0.01770074
-1.47665628,0.00006104
-1.47633628,0.01788385
-1.47601628,0.00006104
-1.47569628,0.00006104
-1.47537628,0.01788385
-1.47505628,0.01788385
-1.47473628,0.01788385
-1.47441628,0.01788385
-1.47409628,0.00006104
-1.47377628,0.01788385
-1.47345628,0.01788385
-1.47313628,0.00006104
-1.47281628,0.00006104
-1.47249628,0.03570665
-1.47217628,0.00006104
-1.47185628,0.01788385
-1.47153628,0.00006104
-1.47121628,0.00006104
-1.47089628,0.00006104
-1.47057628,0.00006104
-1.47025628,-0.01770074
-1.46993628,0.00006104
-1.46961628,0.00006104
-1.46929628,0.00006104
-1.46897628,0.00006104
-1.46865628,0.01788385
-1.46833628,0.00006104
-1.46801628,0.01788385
-1.46769628,0.00006104
-1.46737628,0.00006104
-1.46705628,0.01788385
-1.46673628,0.01788385
-1.46641628,0.00006104
-1.46609628,0.00006104
-1.46577628,0.00006104
-1.46545628,0.01788385
-1.46513628,0.00006104
-1.46481628,0.00006104
-1.46449628,-0.01770074
-1.46417628,0.01788385
-1.46385628,0.00006104
-1.46353628,0.00006104
-1.46321628,0.00006104
-1.46289628,0.00006104
-1.46257628,0.01788385
-1.46225628,0.01788385
-1.46193628,0.00006104
-1.46161628,0.00006104
-1.46129628,0.00006104
-1.46097628,0.00006104
-1.46065628,0.00006104
-1.46033628,0.01788385
-1.46001628,0.00006104
-1.45969628,0.00006104
-1.45937628,0.00006104
-1.45905628,0.00006104
-1.45873628,0.00006104
-1.45841628,0.00006104
-1.45809628,0.00006104
-1.45777628,0.00006104
-1.45745628,0.00006104
-1.45713628,0.00006104
-1.45681628,0.00006104
-1.45649628,0.01788385
-1.45617628,0.00006104
-1.45585628,0.00006104
-1.45553628,0.01788385
-1.45521628,0.00006104
-1.45489628,0.00006104
-1.45457628,0.00006104
-1.45425628,0.00006104
-1.45393628,0.01788385
-1.45361628,0.00006104
-1.45329628,0.00006104
-1.45297628,0.00006104
-1.45265628,0.00006104
-1.45233628,0.00006104
-1.45201628,0.00006104
-1.45169628,-0.01770074
-1.45137628,-0.01770074
-1.45105628,0.00006104
-1.45073628,0.00006104
-1.45041628,0.00006104
-1.45009628,0.00006104
-1.44977628,0.00006104
-1.44945628,0.00006104
-1.44913628,0.00006104
-1.44881628,0.00006104
-1.44849628,0.00006104
-1.44817628,0.00006104
-1.44785628,0.00006104
-1.44753628,0.00006104
-1.44721628,0.00006104
-1.44689628,0.00006104
-1.44657628,0.00006104
-1.44625628,0.00006104
-1.44593628,0.00006104
-1.44561628,0.00006104
-1.44529628,0.00006104
-1.44497628,0.00006104
-1.44465628,0.00006104
-1.44433628,0.00006104
-1.44401628,0.00006104
-1.44369628,0.00006104
-1.44337628,0.00006104
