Time,Channel A
(ms),(V)

-1.48092688,0.00006104
-1.48060688,0.01788385
-1.48028688,0.01788385
-1.47996688,0.00006104
-1.47964688,0.00006104
-1.47932688,-0.01770074
-1.47900688,0.00006104
-1.47868688,0.01788385
-1.47836688,0.00006104
-1.47804688,0.00006104
-1.47772688,0.01788385
-1.47740688,0.01788385
-1.47708688,0.01788385
-1.47676688,0.01788385
-1.47644688,0.00006104
-1.47612688,0.00006104
-1.47580688,0.01788385
-1.47548688,0.00006104
-1.47516688,0.00006104
-1.47484688,0.03570665
-1.47452688,0.00006104
-1.47420688,0.00006104
-1.47388688,0.00006104
-1.47356688,0.00006104
-1.47324688,0.00006104
-1.47292688,0.00006104
-1.47260688,-0.01770074
-1.47228688,-0.01770074
-1.47196688,0.00006104
-1.47164688,0.00006104
-1.47132688,0.00006104
-1.47100688,0.00006104
-1.47068688,0.00006104
-1.47036688,0.01788385
-1.47004688,0.00006104
-1.46972688,0.00006104
-1.46940688,0.00006104
-1.46908688,0.01788385
-1.46876688,0.00006104
-1.46844688,0.00006104
-1.46812688,0.00006104
-1.46780688,0.00006104
-1.46748688,0.00006104
-1.46716688,-0.01770074
-1.46684688,0.00006104
-1.46652688,0.00006104
-1.46620688,0.00006104
-1.46588688,0.00006104
-1.46556688,0.00006104
-1.46524688,0.00006104
-1.46492688,0.00006104
-1.46460688,0.00006104
-1.46428688,0.00006104
-1.46396688,0.00006104
-1.46364688,0.01788385
-1.46332688,0.00006104
-1.46300688,0.00006104
-1.46268688,0.00006104
-1.46236688,0.00006104
-1.46204688,0.00006104
-1.46172688,0.00006104
-1.46140688,-0.01770074
-1.46108688,0.00006104
-1.46076688,0.00006104
-1.46044688,-0.01770074
-1.46012688,0.00006104
-1.45980688,0.00006104
-1.45948688,0.00006104
-1.45916688,0.00006104
-1.45884688,0.01788385
-1.45852688,0.00006104
-1.45820688,0.00006104
-1.45788688,0.00006104
-1.45756688,0.00006104
-1.45724688,0.00006104
-1.45692688,0.00006104
-1.45660688,0.00006104
-1.45628688,0.00006104
-1.45596688,0.00006104
-1.45564688,0.00006104
-1.45532688,-0.01770074
-1.45500688,-0.01770074
-1.45468688,-0.01770074
-1.45436688,0.00006104
-1.45404688,0.00006104
-1.45372688,0.00006104
-1.45340688,0.00006104
-1.45308688,0.00006104
-1.45276688,0.00006104
-1.45244688,0.00006104
-1.45212688,0.00006104
-1.45180688,0.00006104
-1.45148688,0.00006104
-1.45116688,0.00006104
-1.45084688,0.00006104
-1.45052688,0.01788385
-1.45020688,0.00006104
-1.44988688,0.00006104
-1.44956688,0.01788385
-1.44924688,0.00006104
-1.44892688,0.00006104
-1.44860688,0.00006104
-1.44828688,0.00006104
-1.44796688,-0.01770074
-1.44764688,0.00006104
-1.44732688,-0.01770074
-1.44700688,0.00006104
-1.44668688,0.00006104
-1.44636688,0.00006104
-1.44604688,0.00006104
-1.44572688,0.00006104
-1.44540688,0.00006104
-1.44508688,0.00006104
-1.44476688,0.00006104
-1.44444688,0.00006104
-1.44412688,0.01788385
-1.44380688,0.00006104
-1.44348688,0.00006104
