Time,Channel A
(ms),(V)

-1.48067856,0.01788385
-1.48035856,0.01788385
-1.48003856,0.03570665
-1.47971856,0.01788385
-1.47939856,0.01788385
-1.47907856,0.01788385
-1.47875856,0.01788385
-1.47843856,0.00006104
-1.47811856,0.01788385
-1.47779856,0.03570665
-1.47747856,0.01788385
-1.47715856,0.00006104
-1.47683856,0.01788385
-1.47651856,0.01788385
-1.47619856,0.00006104
-1.47587856,0.01788385
-1.47555856,0.00006104
-1.47523856,-0.01770074
-1.47491856,0.01788385
-1.47459856,0.00006104
-1.47427856,0.00006104
-1.47395856,0.01788385
-1.47363856,0.03570665
-1.47331856,0.01788385
-1.47299856,0.01788385
-1.47267856,0.01788385
-1.47235856,0.00006104
-1.47203856,0.01788385
-1.47171856,0.01788385
-1.47139856,0.00006104
-1.47107856,0.03570665
-1.47075856,0.01788385
-1.47043856,0.00006104
-1.47011856,0.00006104
-1.46979856,0.00006104
-1.46947856,0.00006104
-1.46915856,0.00006104
-1.46883856,-0.01770074
-1.46851856,-0.01770074
-1.46819856,0.00006104
-1.46787856,0.00006104
-1.46755856,0.01788385
-1.46723856,0.01788385
-1.46691856,0.00006104
-1.46659856,0.01788385
-1.46627856,0.01788385
-1.46595856,0.00006104
-1.46563856,0.01788385
-1.46531856,0.00006104
-1.46499856,0.00006104
-1.46467856,0.01788385
-1.46435856,0.00006104
-1.46403856,0.00006104
-1.46371856,0.00006104
-1.46339856,0.00006104
-1.46307856,-0.01770074
-1.46275856,0.00006104
-1.46243856,0.00006104
-1.46211856,0.00006104
-1.46179856,0.00006104
-1.46147856,0.00006104
-1.46115856,0.01788385
-1.46083856,0.01788385
-1.46051856,0.00006104
-1.46019856,0.00006104
-1.45987856,0.01788385
-1.45955856,0.00006104
-1.45923856,0.00006104
-1.45891856,0.00006104
-1.45859856,0.00006104
-1.45827856,0.00006104
-1.45795856,0.00006104
-1.45763856,0.00006104
-1.45731856,0.00006104
-1.45699856,0.00006104
-1.45667856,0.00006104
-1.45635856,0.00006104
-1.45603856,0.00006104
-1.45571856,0.00006104
-1.45539856,0.00006104
-1.45507856,0.00006104
-1.45475856,0.00006104
-1.45443856,0.01788385
-1.45411856,0.00006104
-1.45379856,0.00006104
-1.45347856,0.01788385
-1.45315856,0.00006104
-1.45283856,0.00006104
-1.45251856,0.00006104
-1.45219856,0.00006104
-1.45187856,0.00006104
-1.45155856,0.00006104
-1.45123856,0.00006104
-1.45091856,-0.01770074
-1.45059856,-0.01770074
-1.45027856,0.00006104
-1.44995856,0.00006104
-1.44963856,0.00006104
-1.44931856,0.00006104
-1.44899856,-0.01770074
-1.44867856,0.00006104
-1.44835856,0.00006104
-1.44803856,0.00006104
-1.44771856,0.00006104
-1.44739856,0.00006104
-1.44707856,0.00006104
-1.44675856,0.01788385
-1.44643856,0.00006104
-1.44611856,0.00006104
-1.44579856,0.00006104
-1.44547856,0.00006104
-1.44515856,0.00006104
-1.44483856,0.00006104
-1.44451856,0.00006104
-1.44419856,0.00006104
-1.44387856,0.00006104
-1.44355856,0.00006104
-1.44323856,0.00006104
