sample,time_raw,adc,mv
0,-19999,2033,31
1,0,1744,26
2,20000,1744,26
3,40000,1744,26
4,60000,1744,26
5,80000,1744,26
6,100000,1744,26
7,120000,1744,26
8,140000,1744,26
9,160000,1744,26
10,180000,1744,26
11,200000,2033,31
12,220000,1744,26
13,240000,2033,31
14,260000,1744,26
15,280000,1744,26
16,300000,1744,26
17,320000,2033,31
18,340000,1744,26
19,360000,2033,31
20,380000,1744,26
21,400000,2033,31
22,420000,1744,26
23,440000,2033,31
24,460000,1744,26
25,480000,2033,31
26,500000,1744,26
27,520000,1744,26
28,540000,2033,31
29,560000,1744,26
30,580000,2033,31
31,600000,2033,31
32,620000,1744,26
33,640000,1744,26
34,660000,1744,26
35,680000,2033,31
36,700000,1744,26
37,720000,2033,31
38,740000,1744,26
39,760000,1744,26
40,780000,1744,26
41,800000,2033,31
42,820000,1744,26
43,840000,2033,31
44,860000,2033,31
45,880000,2033,31
46,900000,1744,26
47,920000,2033,31
48,940000,1744,26
49,960000,2033,31
50,980000,1744,26
51,1000000,2033,31
52,1020000,2033,31
53,1040000,1744,26
54,1060000,2033,31
55,1080000,1744,26
56,1100000,1744,26
57,1120000,1744,26
58,1140000,2033,31
59,1160000,2033,31
60,1180000,2033,31
61,1200000,1744,26
62,1220000,2033,31
63,1240000,1744,26
64,1260000,2033,31
65,1280000,2033,31
66,1300000,1744,26
67,1320000,1744,26
68,1340000,1744,26
69,1360000,1744,26
70,1380000,1744,26
71,1400000,2033,31
72,1420000,2033,31
73,1440000,1744,26
74,1460000,2033,31
75,1480000,1744,26
76,1500000,1744,26
77,1520000,2033,31
78,1540000,2033,31
79,1560000,2033,31
80,1580000,2033,31
81,1600000,2033,31
82,1620000,2033,31
83,1640000,1744,26
84,1660000,1744,26
85,1680000,2033,31
86,1700000,2033,31
87,1720000,2033,31
88,1740000,2033,31
89,1760000,2033,31
90,1780000,2033,31
91,1800000,1744,26
92,1820000,2033,31
93,1840000,1744,26
94,1860000,2322,35
95,1880000,2033,31
96,1900000,2033,31
97,1920000,2033,31
98,1940000,1744,26
99,1960000,1744,26
100,1980000,2033,31
101,2000000,2033,31
102,2020000,2033,31
103,2040000,2033,31
104,2060000,1744,26
105,2080000,1744,26
106,2100000,1744,26
107,2120000,2322,35
108,2140000,1744,26
109,2160000,2033,31
110,2180000,1744,26
111,2200000,2033,31
112,2220000,1744,26
113,2240000,1744,26
114,2260000,1744,26
115,2280000,2033,31
116,2300000,2033,31
117,2320000,2033,31
118,2340000,1744,26
119,2360000,1744,26
120,2380000,2033,31
121,2400000,2033,31
122,2420000,2033,31
123,2440000,2033,31
124,2460000,1744,26
125,2480000,1744,26
126,2500000,1744,26
127,2520000,1744,26
128,2540000,2033,31
129,2560000,1744,26
130,2580000,2033,31
131,2600000,1744,26
132,2620000,1744,26
133,2640000,2033,31
134,2660000,1744,26
135,2680000,2033,31
136,2700000,1744,26
137,2720000,2033,31
138,2740000,1744,26
139,2760000,1744,26
140,2780000,2033,31
141,2800000,1744,26
142,2820000,2033,31
143,2840000,2033,31
144,2860000,2033,31
145,2880000,1744,26
146,2900000,2033,31
147,2920000,1744,26
148,2940000,2033,31
149,2960000,1744,26
150,2980000,2033,31
151,3000000,2033,31
152,3020000,2033,31
153,3040000,2033,31
154,3060000,2033,31
155,3080000,2033,31
156,3100000,2033,31
157,3120000,1744,26
158,3140000,2033,31
159,3160000,2033,31
160,3180000,2033,31
161,3200000,2033,31
162,3220000,2033,31
163,3240000,2033,31
164,3260000,2033,31
165,3280000,2033,31
166,3300000,1744,26
167,3320000,2033,31
168,3340000,2033,31
169,3360000,2033,31
170,3380000,2033,31
171,3400000,2033,31
172,3420000,2033,31
173,3440000,2033,31
174,3460000,2033,31
175,3480000,2033,31
176,3500000,2033,31
177,3520000,2033,31
178,3540000,2033,31
179,3560000,2033,31
180,3580000,2033,31
181,3600000,2033,31
182,3620000,2033,31
183,3640000,2033,31
184,3660000,1744,26
185,3680000,2033,31
186,3700000,1744,26
187,3720000,2033,31
188,3740000,1744,26
189,3760000,2033,31
190,3780000,2033,31
191,3800000,2033,31
192,3820000,1744,26
193,3840000,1744,26
194,3860000,1744,26
195,3880000,1744,26
196,3900000,2033,31
197,3920000,2033,31
198,3940000,2033,31
199,3960000,1744,26
200,3980000,2033,31
201,4000000,2033,31
202,4020000,2033,31
203,4040000,1744,26
204,4060000,1744,26
205,4080000,2033,31
206,4100000,2033,31
207,4120000,2033,31
208,4140000,2033,31
209,4160000,2033,31
210,4180000,2033,31
211,4200000,2033,31
212,4220000,2033,31
213,4240000,2033,31
214,4260000,2033,31
215,4280000,1744,26
216,4300000,2033,31
217,4320000,2033,31
218,4340000,2033,31
219,4360000,2033,31
220,4380000,2033,31
221,4400000,2033,31
222,4420000,2033,31
223,4440000,2033,31
224,4460000,2033,31
225,4480000,2033,31
226,4500000,2033,31
227,4520000,2033,31
228,4540000,2033,31
229,4560000,2033,31
230,4580000,2033,31
231,4600000,2033,31
232,4620000,2033,31
233,4640000,2033,31
234,4660000,1744,26
235,4680000,2033,31
236,4700000,1744,26
237,4720000,2033,31
238,4740000,2033,31
239,4760000,1744,26
240,4780000,1744,26
241,4800000,2033,31
242,4820000,1744,26
243,4840000,2033,31
244,4860000,1744,26
245,4880000,1744,26
246,4900000,1744,26
247,4920000,1744,26
248,4940000,1744,26
249,4960000,2033,31
250,4980000,2033,31
251,5000000,1744,26
252,5020000,2033,31
253,5040000,2033,31
254,5060000,1744,26
255,5080000,2033,31
256,5100000,1744,26
257,5120000,2033,31
258,5140000,1744,26
259,5160000,2033,31
260,5180000,1744,26
261,5200000,2033,31
262,5220000,1744,26
263,5240000,2033,31
264,5260000,2033,31
265,5280000,1744,26
266,5300000,2033,31
267,5320000,2033,31
268,5340000,2033,31
269,5360000,2033,31
270,5380000,1744,26
271,5400000,1744,26
272,5420000,2033,31
273,5440000,2033,31
274,5460000,2322,35
275,5480000,2033,31
276,5500000,2033,31
277,5520000,2033,31
278,5540000,2033,31
279,5560000,2033,31
280,5580000,1744,26
281,5600000,2033,31
282,5620000,2033,31
283,5640000,2033,31
284,5660000,2033,31
285,5680000,2033,31
286,5700000,2033,31
287,5720000,2033,31
288,5740000,1744,26
289,5760000,1744,26
290,5780000,1744,26
291,5800000,2033,31
292,5820000,2033,31
293,5840000,2033,31
294,5860000,2033,31
295,5880000,1744,26
296,5900000,2033,31
297,5920000,1744,26
298,5940000,2033,31
299,5960000,1744,26
300,5980000,2033,31
301,6000000,2033,31
302,6020000,1744,26
303,6040000,2033,31
304,6060000,1744,26
305,6080000,2033,31
306,6100000,1744,26
307,6120000,2033,31
308,6140000,2033,31
309,6160000,2033,31
310,6180000,2033,31
311,6200000,2033,31
312,6220000,2033,31
313,6240000,2033,31
314,6260000,2033,31
315,6280000,2033,31
316,6300000,2033,31
317,6320000,2033,31
318,6340000,2033,31
319,6360000,2033,31
320,6380000,2033,31
321,6400000,1744,26
322,6420000,2033,31
323,6440000,1744,26
324,6460000,1744,26
325,6480000,2033,31
326,6500000,1744,26
327,6520000,1744,26
328,6540000,1744,26
329,6560000,1744,26
330,6580000,1744,26
331,6600000,2033,31
332,6620000,1744,26
333,6640000,2033,31
334,6660000,2033,31
335,6680000,2033,31
336,6700000,2033,31
337,6720000,1744,26
338,6740000,2033,31
339,6760000,2033,31
340,6780000,2033,31
341,6800000,2033,31
342,6820000,2033,31
343,6840000,2033,31
344,6860000,2033,31
345,6880000,2033,31
346,6900000,2033,31
347,6920000,2033,31
348,6940000,2033,31
349,6960000,2033,31
350,6980000,2033,31
351,7000000,2033,31
352,7020000,2033,31
353,7040000,2033,31
354,7060000,2033,31
355,7080000,2033,31
356,7100000,2033,31
357,7120000,2033,31
358,7140000,2033,31
359,7160000,2033,31
360,7180000,2033,31
361,7200000,2033,31
362,7220000,2322,35
363,7240000,2033,31
364,7260000,2322,35
365,7280000,2033,31
366,7300000,2033,31
367,7320000,1744,26
368,7340000,2033,31
369,7360000,2033,31
370,7380000,2033,31
371,7400000,2033,31
372,7420000,2033,31
373,7440000,1744,26
374,7460000,1744,26
375,7480000,2033,31
376,7500000,1744,26
377,7520000,1744,26
378,7540000,2033,31
379,7560000,1744,26
380,7580000,2033,31
381,7600000,2033,31
382,7620000,1744,26
383,7640000,1744,26
384,7660000,1744,26
385,7680000,2033,31
386,7700000,1744,26
387,7720000,2033,31
388,7740000,2033,31
389,7760000,2033,31
390,7780000,1744,26
391,7800000,1744,26
392,7820000,2033,31
393,7840000,2033,31
394,7860000,2033,31
395,7880000,2033,31
396,7900000,2033,31
397,7920000,2033,31
398,7940000,2033,31
399,7960000,2033,31
400,7980000,2033,31
401,8000000,2033,31
402,8020000,2033,31
403,8040000,2322,35
404,8060000,2033,31
405,8080000,2033,31
406,8100000,2033,31
407,8120000,2033,31
408,8140000,2033,31
409,8160000,2033,31
410,8180000,2033,31
411,8200000,2033,31
412,8220000,2033,31
413,8240000,2033,31
414,8260000,2033,31
415,8280000,2033,31
416,8300000,2033,31
417,8320000,2033,31
418,8340000,2033,31
419,8360000,2033,31
420,8380000,2033,31
421,8400000,2033,31
422,8420000,2033,31
423,8440000,2033,31
424,8460000,2033,31
425,8480000,2033,31
426,8500000,2033,31
427,8520000,2033,31
428,8540000,2322,35
429,8560000,2033,31
430,8580000,1744,26
431,8600000,1744,26
432,8620000,2033,31
433,8640000,1744,26
434,8660000,2033,31
435,8680000,2033,31
436,8700000,2033,31
437,8720000,1744,26
438,8740000,2033,31
439,8760000,2033,31
440,8780000,2033,31
441,8800000,2033,31
442,8820000,2033,31
443,8840000,1744,26
444,8860000,2033,31
445,8880000,1744,26
446,8900000,1744,26
447,8920000,2033,31
448,8940000,2033,31
449,8960000,2033,31
450,8980000,2033,31
451,9000000,2033,31
452,9020000,2033,31
453,9040000,1744,26
454,9060000,1744,26
455,9080000,2033,31
456,9100000,2033,31
457,9120000,2033,31
458,9140000,2033,31
459,9160000,2033,31
460,9180000,2033,31
461,9200000,2033,31
462,9220000,2033,31
463,9240000,2033,31
464,9260000,2033,31
465,9280000,2322,35
466,9300000,2033,31
467,9320000,2033,31
468,9340000,2033,31
469,9360000,2033,31
470,9380000,2033,31
471,9400000,2033,31
472,9420000,2033,31
473,9440000,2033,31
474,9460000,2033,31
475,9480000,2033,31
476,9500000,2033,31
477,9520000,2033,31
478,9540000,2033,31
479,9560000,2033,31
480,9580000,2033,31
481,9600000,2033,31
482,9620000,2033,31
483,9640000,2033,31
484,9660000,2033,31
485,9680000,2033,31
486,9700000,2033,31
487,9720000,2033,31
488,9740000,2033,31
489,9760000,2033,31
490,9780000,2033,31
491,9800000,1744,26
492,9820000,1744,26
493,9840000,1744,26
494,9860000,2033,31
495,9880000,1744,26
496,9900000,1744,26
497,9920000,1744,26
498,9940000,1744,26
499,9960000,2033,31
