sample,time_raw,adc,mv
0,-19999,299,4
1,0,299,4
2,20000,299,4
3,40000,299,4
4,60000,299,4
5,80000,588,8
6,100000,299,4
7,120000,299,4
8,140000,299,4
9,160000,299,4
10,180000,299,4
11,200000,299,4
12,220000,299,4
13,240000,299,4
14,260000,299,4
15,280000,299,4
16,300000,299,4
17,320000,299,4
18,340000,299,4
19,360000,299,4
20,380000,299,4
21,400000,299,4
22,420000,299,4
23,440000,299,4
24,460000,588,8
25,480000,10,0
26,500000,588,8
27,520000,299,4
28,540000,299,4
29,560000,299,4
30,580000,299,4
31,600000,299,4
32,620000,299,4
33,640000,299,4
34,660000,299,4
35,680000,299,4
36,700000,299,4
37,720000,588,8
38,740000,299,4
39,760000,299,4
40,780000,299,4
41,800000,588,8
42,820000,299,4
43,840000,299,4
44,860000,299,4
45,880000,299,4
46,900000,588,8
47,920000,299,4
48,940000,588,8
49,960000,588,8
50,980000,299,4
51,1000000,588,8
52,1020000,588,8
53,1040000,588,8
54,1060000,299,4
55,1080000,588,8
56,1100000,588,8
57,1120000,299,4
58,1140000,299,4
59,1160000,299,4
60,1180000,299,4
61,1200000,588,8
62,1220000,299,4
63,1240000,588,8
64,1260000,299,4
65,1280000,299,4
66,1300000,299,4
67,1320000,588,8
68,1340000,299,4
69,1360000,588,8
70,1380000,299,4
71,1400000,588,8
72,1420000,299,4
73,1440000,299,4
74,1460000,299,4
75,1480000,299,4
76,1500000,299,4
77,1520000,299,4
78,1540000,299,4
79,1560000,299,4
80,1580000,299,4
81,1600000,299,4
82,1620000,299,4
83,1640000,299,4
84,1660000,299,4
85,1680000,299,4
86,1700000,299,4
87,1720000,299,4
88,1740000,299,4
89,1760000,299,4
90,1780000,299,4
91,1800000,299,4
92,1820000,299,4
93,1840000,299,4
94,1860000,299,4
95,1880000,299,4
96,1900000,299,4
97,1920000,299,4
98,1940000,299,4
99,1960000,299,4
100,1980000,299,4
101,2000000,299,4
102,2020000,299,4
103,2040000,299,4
104,2060000,299,4
105,2080000,299,4
106,2100000,299,4
107,2120000,299,4
108,2140000,299,4
109,2160000,299,4
