sample,time_raw,adc,mv
0,-19999,588,8
1,0,588,8
2,20000,588,8
3,40000,588,8
4,60000,588,8
5,80000,588,8
6,100000,588,8
7,120000,588,8
8,140000,588,8
9,160000,588,8
10,180000,588,8
11,200000,588,8
12,220000,588,8
13,240000,588,8
14,260000,588,8
15,280000,588,8
16,300000,588,8
17,320000,588,8
18,340000,588,8
19,360000,588,8
20,380000,588,8
21,400000,588,8
22,420000,588,8
23,440000,588,8
24,460000,588,8
25,480000,588,8
26,500000,588,8
27,520000,588,8
28,540000,588,8
29,560000,877,13
30,580000,588,8
31,600000,588,8
32,620000,588,8
33,640000,588,8
34,660000,588,8
35,680000,588,8
36,700000,877,13
37,720000,877,13
38,740000,588,8
39,760000,588,8
40,780000,588,8
41,800000,588,8
42,820000,588,8
43,840000,877,13
44,860000,588,8
45,880000,588,8
46,900000,588,8
47,920000,588,8
48,940000,588,8
49,960000,588,8
50,980000,588,8
51,1000000,588,8
52,1020000,877,13
53,1040000,588,8
54,1060000,877,13
55,1080000,877,13
56,1100000,588,8
57,1120000,877,13
58,1140000,588,8
59,1160000,588,8
60,1180000,877,13
61,1200000,588,8
62,1220000,588,8
63,1240000,877,13
64,1260000,877,13
65,1280000,588,8
66,1300000,588,8
67,1320000,588,8
68,1340000,588,8
69,1360000,588,8
70,1380000,588,8
71,1400000,588,8
72,1420000,299,4
73,1440000,588,8
74,1460000,588,8
75,1480000,588,8
76,1500000,588,8
77,1520000,588,8
78,1540000,588,8
79,1560000,588,8
80,1580000,588,8
81,1600000,588,8
82,1620000,588,8
83,1640000,588,8
84,1660000,588,8
85,1680000,588,8
86,1700000,588,8
87,1720000,588,8
88,1740000,877,13
89,1760000,877,13
90,1780000,588,8
91,1800000,877,13
92,1820000,588,8
93,1840000,588,8
94,1860000,588,8
95,1880000,877,13
96,1900000,877,13
97,1920000,588,8
98,1940000,588,8
99,1960000,588,8
100,1980000,588,8
101,2000000,877,13
102,2020000,588,8
103,2040000,588,8
104,2060000,588,8
105,2080000,588,8
106,2100000,588,8
107,2120000,588,8
108,2140000,588,8
109,2160000,588,8
110,2180000,588,8
111,2200000,588,8
112,2220000,588,8
113,2240000,588,8
114,2260000,588,8
115,2280000,588,8
116,2300000,588,8
117,2320000,588,8
118,2340000,588,8
119,2360000,588,8
120,2380000,588,8
121,2400000,588,8
122,2420000,588,8
123,2440000,588,8
124,2460000,588,8
125,2480000,588,8
126,2500000,877,13
127,2520000,588,8
128,2540000,588,8
129,2560000,588,8
130,2580000,588,8
131,2600000,588,8
132,2620000,588,8
133,2640000,588,8
134,2660000,588,8
135,2680000,588,8
136,2700000,588,8
137,2720000,588,8
138,2740000,588,8
139,2760000,588,8
140,2780000,588,8
141,2800000,588,8
142,2820000,588,8
143,2840000,588,8
144,2860000,588,8
145,2880000,588,8
146,2900000,588,8
147,2920000,588,8
148,2940000,877,13
149,2960000,588,8
150,2980000,588,8
151,3000000,588,8
152,3020000,588,8
153,3040000,588,8
154,3060000,588,8
155,3080000,588,8
156,3100000,588,8
157,3120000,588,8
158,3140000,588,8
159,3160000,588,8
160,3180000,588,8
161,3200000,588,8
162,3220000,588,8
163,3240000,588,8
164,3260000,588,8
165,3280000,588,8
166,3300000,588,8
167,3320000,588,8
168,3340000,588,8
169,3360000,588,8
170,3380000,588,8
171,3400000,588,8
172,3420000,588,8
173,3440000,588,8
174,3460000,588,8
175,3480000,588,8
176,3500000,588,8
177,3520000,588,8
178,3540000,588,8
179,3560000,588,8
180,3580000,877,13
181,3600000,588,8
182,3620000,588,8
183,3640000,588,8
184,3660000,588,8
185,3680000,588,8
186,3700000,877,13
187,3720000,588,8
188,3740000,588,8
189,3760000,588,8
190,3780000,588,8
191,3800000,588,8
192,3820000,588,8
193,3840000,588,8
194,3860000,588,8
195,3880000,588,8
196,3900000,588,8
197,3920000,588,8
198,3940000,588,8
199,3960000,588,8
200,3980000,588,8
201,4000000,588,8
202,4020000,877,13
203,4040000,588,8
204,4060000,877,13
205,4080000,877,13
206,4100000,588,8
207,4120000,588,8
208,4140000,588,8
209,4160000,877,13
210,4180000,877,13
211,4200000,877,13
212,4220000,588,8
213,4240000,588,8
214,4260000,588,8
215,4280000,588,8
216,4300000,588,8
217,4320000,588,8
218,4340000,588,8
219,4360000,588,8
220,4380000,588,8
221,4400000,588,8
222,4420000,588,8
223,4440000,588,8
224,4460000,588,8
225,4480000,588,8
226,4500000,588,8
227,4520000,588,8
228,4540000,588,8
229,4560000,588,8
230,4580000,588,8
231,4600000,588,8
232,4620000,588,8
233,4640000,588,8
234,4660000,588,8
235,4680000,588,8
236,4700000,588,8
237,4720000,588,8
238,4740000,588,8
239,4760000,588,8
240,4780000,588,8
241,4800000,588,8
242,4820000,588,8
243,4840000,588,8
244,4860000,588,8
245,4880000,588,8
246,4900000,588,8
247,4920000,588,8
248,4940000,588,8
249,4960000,588,8
250,4980000,588,8
251,5000000,588,8
252,5020000,588,8
253,5040000,588,8
254,5060000,588,8
255,5080000,588,8
256,5100000,588,8
257,5120000,588,8
258,5140000,877,13
259,5160000,588,8
260,5180000,588,8
261,5200000,588,8
262,5220000,588,8
263,5240000,588,8
264,5260000,588,8
265,5280000,588,8
266,5300000,588,8
267,5320000,588,8
268,5340000,588,8
269,5360000,588,8
270,5380000,588,8
271,5400000,877,13
272,5420000,588,8
273,5440000,588,8
274,5460000,588,8
275,5480000,877,13
276,5500000,877,13
277,5520000,588,8
278,5540000,588,8
279,5560000,588,8
280,5580000,588,8
281,5600000,588,8
282,5620000,877,13
283,5640000,588,8
284,5660000,877,13
285,5680000,877,13
286,5700000,877,13
287,5720000,588,8
288,5740000,877,13
289,5760000,588,8
290,5780000,588,8
291,5800000,588,8
292,5820000,588,8
293,5840000,588,8
294,5860000,588,8
295,5880000,588,8
296,5900000,588,8
297,5920000,588,8
298,5940000,588,8
299,5960000,588,8
300,5980000,588,8
301,6000000,588,8
302,6020000,588,8
303,6040000,588,8
304,6060000,588,8
305,6080000,588,8
306,6100000,588,8
307,6120000,588,8
308,6140000,588,8
309,6160000,588,8
310,6180000,877,13
311,6200000,588,8
312,6220000,588,8
313,6240000,588,8
314,6260000,588,8
315,6280000,588,8
316,6300000,588,8
317,6320000,588,8
318,6340000,588,8
319,6360000,588,8
320,6380000,588,8
321,6400000,588,8
322,6420000,588,8
323,6440000,588,8
324,6460000,588,8
325,6480000,588,8
326,6500000,588,8
327,6520000,588,8
328,6540000,588,8
329,6560000,588,8
330,6580000,588,8
331,6600000,588,8
332,6620000,588,8
333,6640000,588,8
334,6660000,588,8
335,6680000,588,8
336,6700000,588,8
337,6720000,588,8
338,6740000,588,8
339,6760000,588,8
340,6780000,588,8
341,6800000,588,8
342,6820000,588,8
343,6840000,588,8
344,6860000,588,8
345,6880000,588,8
346,6900000,588,8
347,6920000,877,13
348,6940000,588,8
349,6960000,588,8
350,6980000,877,13
351,7000000,588,8
352,7020000,588,8
353,7040000,588,8
354,7060000,877,13
355,7080000,588,8
356,7100000,588,8
357,7120000,588,8
358,7140000,588,8
359,7160000,588,8
360,7180000,588,8
361,7200000,588,8
362,7220000,588,8
363,7240000,588,8
364,7260000,588,8
365,7280000,588,8
366,7300000,877,13
367,7320000,588,8
368,7340000,877,13
369,7360000,588,8
370,7380000,877,13
371,7400000,588,8
372,7420000,877,13
373,7440000,588,8
374,7460000,588,8
375,7480000,588,8
376,7500000,588,8
377,7520000,877,13
378,7540000,588,8
379,7560000,588,8
380,7580000,588,8
381,7600000,588,8
382,7620000,588,8
383,7640000,877,13
384,7660000,588,8
385,7680000,877,13
386,7700000,588,8
387,7720000,877,13
388,7740000,299,4
389,7760000,588,8
390,7780000,588,8
391,7800000,588,8
392,7820000,588,8
393,7840000,588,8
394,7860000,588,8
395,7880000,588,8
396,7900000,588,8
397,7920000,588,8
398,7940000,588,8
399,7960000,588,8
400,7980000,588,8
401,8000000,588,8
402,8020000,588,8
403,8040000,588,8
404,8060000,588,8
405,8080000,588,8
406,8100000,588,8
407,8120000,588,8
408,8140000,588,8
409,8160000,588,8
410,8180000,588,8
411,8200000,588,8
412,8220000,588,8
413,8240000,588,8
414,8260000,588,8
415,8280000,588,8
416,8300000,588,8
417,8320000,588,8
418,8340000,588,8
