sample,time_raw,adc,mv
0,-19999,10,0
1,0,10,0
2,20000,10,0
3,40000,10,0
4,60000,10,0
5,80000,10,0
6,100000,10,0
7,120000,10,0
8,140000,10,0
9,160000,10,0
10,180000,10,0
11,200000,10,0
12,220000,10,0
13,240000,10,0
14,260000,10,0
15,280000,10,0
16,300000,10,0
17,320000,10,0
18,340000,10,0
19,360000,10,0
20,380000,10,0
21,400000,10,0
22,420000,10,0
23,440000,10,0
24,460000,10,0
25,480000,10,0
26,500000,10,0
27,520000,10,0
28,540000,10,0
29,560000,10,0
30,580000,10,0
31,600000,10,0
32,620000,10,0
33,640000,10,0
34,660000,10,0
35,680000,10,0
36,700000,10,0
37,720000,10,0
38,740000,10,0
39,760000,10,0
40,780000,-279,-4
41,800000,10,0
42,820000,10,0
43,840000,10,0
44,860000,10,0
45,880000,10,0
46,900000,10,0
47,920000,10,0
48,940000,10,0
49,960000,10,0
50,980000,10,0
51,1000000,10,0
52,1020000,10,0
53,1040000,10,0
54,1060000,10,0
55,1080000,10,0
56,1100000,10,0
57,1120000,10,0
58,1140000,10,0
59,1160000,10,0
60,1180000,10,0
61,1200000,10,0
62,1220000,10,0
63,1240000,10,0
64,1260000,10,0
65,1280000,10,0
66,1300000,10,0
67,1320000,10,0
68,1340000,10,0
69,1360000,10,0
70,1380000,10,0
71,1400000,10,0
72,1420000,10,0
73,1440000,10,0
74,1460000,10,0
75,1480000,10,0
76,1500000,10,0
77,1520000,10,0
78,1540000,10,0
79,1560000,-279,-4
80,1580000,-279,-4
81,1600000,10,0
82,1620000,10,0
83,1640000,-279,-4
84,1660000,-279,-4
85,1680000,-279,-4
86,1700000,-279,-4
87,1720000,-279,-4
88,1740000,-279,-4
89,1760000,-279,-4
90,1780000,-279,-4
91,1800000,-279,-4
92,1820000,-279,-4
93,1840000,-279,-4
94,1860000,-279,-4
95,1880000,10,0
96,1900000,-279,-4
97,1920000,-279,-4
98,1940000,-279,-4
99,1960000,-279,-4
100,1980000,10,0
101,2000000,10,0
102,2020000,-279,-4
103,2040000,10,0
104,2060000,10,0
105,2080000,10,0
106,2100000,10,0
107,2120000,10,0
108,2140000,299,4
109,2160000,299,4
110,2180000,299,4
111,2200000,299,4
112,2220000,299,4
113,2240000,299,4
114,2260000,299,4
115,2280000,299,4
116,2300000,299,4
117,2320000,299,4
118,2340000,299,4
119,2360000,299,4
120,2380000,299,4
121,2400000,299,4
122,2420000,299,4
123,2440000,10,0
124,2460000,10,0
125,2480000,10,0
126,2500000,10,0
127,2520000,-279,-4
128,2540000,-279,-4
129,2560000,-279,-4
130,2580000,-279,-4
131,2600000,-568,-8
132,2620000,-568,-8
133,2640000,-568,-8
134,2660000,-568,-8
135,2680000,-568,-8
136,2700000,-568,-8
137,2720000,-568,-8
138,2740000,-568,-8
139,2760000,-568,-8
140,2780000,-568,-8
141,2800000,-568,-8
142,2820000,-568,-8
143,2840000,-279,-4
144,2860000,-279,-4
145,2880000,10,0
146,2900000,10,0
147,2920000,299,4
148,2940000,299,4
149,2960000,588,8
150,2980000,588,8
151,3000000,588,8
152,3020000,588,8
153,3040000,877,13
154,3060000,877,13
155,3080000,877,13
156,3100000,877,13
157,3120000,877,13
158,3140000,877,13
159,3160000,877,13
160,3180000,1166,17
161,3200000,877,13
162,3220000,877,13
163,3240000,588,8
164,3260000,588,8
165,3280000,588,8
166,3300000,299,4
167,3320000,10,0
168,3340000,10,0
169,3360000,-279,-4
170,3380000,-568,-8
171,3400000,-857,-13
172,3420000,-1146,-17
173,3440000,-1146,-17
174,3460000,-1435,-21
175,3480000,-1435,-21
176,3500000,-1724,-26
177,3520000,-1724,-26
178,3540000,-1724,-26
179,3560000,-2013,-30
180,3580000,-1724,-26
181,3600000,-2013,-30
182,3620000,-1724,-26
183,3640000,-2013,-30
184,3660000,-1724,-26
185,3680000,-1724,-26
186,3700000,-1435,-21
187,3720000,-1435,-21
188,3740000,-857,-13
189,3760000,-568,-8
190,3780000,-568,-8
191,3800000,-279,-4
192,3820000,10,0
193,3840000,299,4
194,3860000,299,4
195,3880000,588,8
196,3900000,877,13
197,3920000,1166,17
198,3940000,1455,22
199,3960000,1455,22
200,3980000,1744,26
201,4000000,1744,26
202,4020000,1744,26
203,4040000,2033,31
204,4060000,2033,31
205,4080000,2033,31
206,4100000,1744,26
207,4120000,1744,26
208,4140000,1744,26
209,4160000,1744,26
210,4180000,1455,22
211,4200000,1166,17
212,4220000,877,13
213,4240000,877,13
214,4260000,588,8
215,4280000,588,8
216,4300000,299,4
217,4320000,10,0
218,4340000,-279,-4
219,4360000,-279,-4
220,4380000,-568,-8
221,4400000,-857,-13
222,4420000,-857,-13
223,4440000,-1146,-17
224,4460000,-1146,-17
225,4480000,-1146,-17
226,4500000,-1435,-21
227,4520000,-1435,-21
228,4540000,-1435,-21
229,4560000,-1724,-26
230,4580000,-1435,-21
231,4600000,-1435,-21
232,4620000,-1435,-21
233,4640000,-1435,-21
234,4660000,-1435,-21
235,4680000,-1435,-21
236,4700000,-1146,-17
237,4720000,-1146,-17
238,4740000,-1146,-17
239,4760000,-1146,-17
240,4780000,-1146,-17
241,4800000,-857,-13
242,4820000,-857,-13
243,4840000,-568,-8
244,4860000,-568,-8
245,4880000,-279,-4
246,4900000,-279,-4
247,4920000,-279,-4
248,4940000,10,0
249,4960000,10,0
250,4980000,10,0
251,5000000,10,0
252,5020000,299,4
253,5040000,299,4
254,5060000,299,4
255,5080000,299,4
256,5100000,588,8
257,5120000,588,8
258,5140000,588,8
259,5160000,588,8
260,5180000,588,8
261,5200000,588,8
262,5220000,588,8
263,5240000,877,13
264,5260000,588,8
265,5280000,588,8
266,5300000,877,13
267,5320000,588,8
268,5340000,588,8
269,5360000,588,8
270,5380000,588,8
271,5400000,588,8
272,5420000,588,8
273,5440000,588,8
274,5460000,588,8
275,5480000,299,4
276,5500000,299,4
277,5520000,299,4
