Time	Channel A
(us)	(V)

-25.03584255	0.00067141
-25.01584255	0.00067141
-24.99584255	0.00067141
-24.97584256	0.00067141
-24.95584256	0.00067141
-24.93584256	0.00067141
-24.91584256	0.00067141
-24.89584256	0.00067141
-24.87584256	0.00067141
-24.85584256	0.00067141
-24.83584256	0.00067141
-24.81584256	0.00067141
-24.79584256	0.00067141
-24.77584256	0.00067141
-24.75584256	0.00067141
-24.73584256	0.00067141
-24.71584256	0.00067141
-24.69584256	0.00067141
-24.67584256	0.00067141
-24.65584256	0.00067141
-24.63584256	0.00067141
-24.61584256	0.00067141
-24.59584256	0.00067141
-24.57584256	0.00067141
-24.55584256	0.00067141
-24.53584256	0.00067141
-24.51584256	0.00067141
-24.49584256	0.00067141
-24.47584256	0.00067141
-24.45584256	0.00067141
-24.43584256	0.00067141
-24.41584256	0.00067141
-24.39584256	0.00067141
-24.37584256	0.00067141
-24.35584256	0.00067141
-24.33584256	0.00067141
-24.31584256	0.00067141
-24.29584256	0.00067141
-24.27584256	0.00067141
-24.25584256	0.00067141
-24.23584256	0.00067141
-24.21584256	0.00067141
-24.19584256	0.00067141
-24.17584256	0.00067141
-24.15584256	0.00067141
-24.13584256	0.00067141
-24.11584256	0.00067141
-24.09584256	0.00067141
-24.07584256	0.00067141
-24.05584256	0.00067141
-24.03584256	0.00067141
-24.01584256	0.00067141
-23.99584256	0.00067141
-23.97584256	0.00067141
-23.95584256	0.00067141
-23.93584256	0.00067141
-23.91584256	0.00067141
-23.89584256	0.00067141
-23.87584256	0.00067141
-23.85584256	0.00067141
-23.83584256	0.00067141
-23.81584256	0.00067141
-23.79584256	0.00067141
-23.77584256	0.00067141
-23.75584256	0.00067141
-23.73584256	0.00067141
-23.71584256	0.00067141
-23.69584256	0.00067141
-23.67584256	0.00067141
-23.65584256	0.00067141
-23.63584256	0.00067141
-23.61584256	0.00067141
-23.59584256	0.00067141
-23.57584256	0.00067141
-23.55584256	0.00067141
-23.53584256	0.00067141
-23.51584256	0.00067141
-23.49584256	0.00067141
-23.47584256	0.00067141
-23.45584256	0.00067141
-23.43584256	0.00067141
-23.41584256	0.00067141
-23.39584256	0.00067141
-23.37584256	0.00067141
-23.35584256	0.00067141
-23.33584256	0.00067141
-23.31584257	0.00067141
-23.29584257	0.00067141
-23.27584257	0.00067141
-23.25584257	0.00067141
-23.23584257	0.00067141
-23.21584257	0.00067141
-23.19584257	0.00067141
-23.17584257	0.00067141
-23.15584257	0.00067141
