sample,time_raw,adc,mv
0,-19999,299,4
1,0,299,4
2,20000,299,4
3,40000,299,4
4,60000,299,4
5,80000,10,0
6,100000,299,4
7,120000,10,0
8,140000,299,4
9,160000,299,4
10,180000,299,4
11,200000,299,4
12,220000,299,4
13,240000,299,4
14,260000,299,4
15,280000,299,4
16,300000,299,4
17,320000,299,4
18,340000,10,0
19,360000,299,4
20,380000,299,4
21,400000,299,4
22,420000,10,0
23,440000,299,4
24,460000,299,4
25,480000,299,4
26,500000,299,4
27,520000,10,0
28,540000,10,0
29,560000,299,4
30,580000,299,4
31,600000,299,4
32,620000,299,4
33,640000,10,0
34,660000,299,4
35,680000,299,4
36,700000,299,4
37,720000,10,0
38,740000,10,0
39,760000,299,4
40,780000,299,4
41,800000,299,4
42,820000,10,0
43,840000,299,4
44,860000,299,4
45,880000,299,4
46,900000,299,4
47,920000,299,4
48,940000,299,4
49,960000,299,4
50,980000,299,4
51,1000000,299,4
52,1020000,299,4
53,1040000,299,4
54,1060000,299,4
55,1080000,299,4
56,1100000,299,4
57,1120000,299,4
58,1140000,10,0
59,1160000,299,4
60,1180000,10,0
61,1200000,299,4
62,1220000,299,4
63,1240000,10,0
64,1260000,299,4
65,1280000,299,4
66,1300000,299,4
67,1320000,299,4
68,1340000,10,0
69,1360000,299,4
70,1380000,299,4
71,1400000,299,4
72,1420000,299,4
73,1440000,10,0
74,1460000,10,0
75,1480000,299,4
76,1500000,299,4
77,1520000,299,4
78,1540000,299,4
79,1560000,299,4
80,1580000,299,4
81,1600000,299,4
82,1620000,10,0
83,1640000,10,0
84,1660000,10,0
85,1680000,299,4
86,1700000,10,0
87,1720000,299,4
88,1740000,10,0
89,1760000,10,0
90,1780000,10,0
91,1800000,10,0
92,1820000,299,4
93,1840000,10,0
94,1860000,10,0
95,1880000,299,4
96,1900000,10,0
97,1920000,10,0
98,1940000,10,0
99,1960000,10,0
100,1980000,10,0
101,2000000,299,4
102,2020000,10,0
103,2040000,10,0
104,2060000,10,0
105,2080000,10,0
106,2100000,10,0
107,2120000,10,0
108,2140000,10,0
109,2160000,10,0
